Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
49,49,165,A,NA,268,722000,4663000,112,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,166,A,NA,268,727000,4663000,150,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,167,A,NA,268,710000,4662000,17,1,NA,NA,NA,NA,NA,NA,60,1,3,3,X
49,49,168,A,NA,268,714000,4662000,62,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,169,A,NA,268,716000,4662000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,3,X
49,49,170,A,NA,268,718000,4662000,112,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,172,A,NA,268,716000,4661000,112,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,173,A,NA,268,717000,4661000,112,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,174,A,NA,268,718000,4661000,112,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,175,A,NA,268,719000,4661000,112,1,NA,NA,NA,NA,NA,NA,15,1,1,3,X
49,49,176,A,NA,268,720000,4661000,112,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,177,A,NA,268,721000,4661000,112,1,NA,NA,NA,NA,NA,NA,80,1,1,3,X
49,49,178,A,NA,268,722000,4661000,112,1,NA,NA,NA,NA,NA,NA,80,1,1,3,X
49,49,179,A,NA,268,708000,4660000,181,1,NA,NA,NA,NA,NA,NA,5,1,1,3,X
49,49,180,A,NA,268,709000,4660000,181,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,181,A,NA,268,710000,4660000,181,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,182,A,NA,268,712000,4660000,17,1,NA,NA,NA,NA,NA,NA,10,1,1,3,X
49,49,183,A,NA,268,716000,4660000,112,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,184,A,NA,268,717000,4660000,112,1,NA,NA,NA,NA,NA,NA,40,1,3,3,X
49,49,185,A,NA,268,722000,4660000,112,1,NA,NA,NA,NA,NA,NA,75,1,2,13,X
49,49,186,A,NA,268,723000,4660000,112,1,NA,NA,NA,NA,NA,NA,60,1,2,13,X
49,49,188,A,NA,268,726000,4660000,150,1,NA,NA,NA,NA,NA,NA,50,1,1,13,X
49,49,189,A,NA,268,709000,4659000,17,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,190,A,NA,268,710000,4659000,17,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,192,A,NA,268,731000,4659000,120,1,NA,NA,NA,NA,NA,NA,20,1,1,13,X
49,49,193,A,NA,268,706000,4658000,143,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,194,A,NA,268,714000,4658000,48,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,195,A,NA,268,715000,4658000,48,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,196,A,NA,268,716000,4658000,112,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,197,A,NA,268,717000,4658000,112,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,198,A,NA,268,718000,4658000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,3,X
49,49,199,A,NA,268,720000,4658000,112,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,200,A,NA,268,724000,4658000,112,1,NA,NA,NA,NA,NA,NA,15,1,1,13,X
49,49,201,A,NA,268,725000,4658000,177,1,NA,NA,NA,NA,NA,NA,50,1,1,13,X
49,49,202,A,NA,268,726000,4658000,177,1,NA,NA,NA,NA,NA,NA,0,NA,NA,13,X
49,49,204,A,NA,268,730000,4658000,177,1,NA,NA,NA,NA,NA,NA,60,1,2,13,X
49,49,205,A,NA,268,715000,4657000,48,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,208,A,NA,268,718000,4657000,121,1,NA,NA,NA,NA,NA,NA,80,1,1,3,X
49,49,209,A,NA,268,719000,4657000,121,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,210,A,NA,268,723000,4657000,112,1,NA,NA,NA,NA,NA,NA,0,NA,NA,13,X
49,49,211,A,NA,268,732000,4657000,231,1,NA,NA,NA,NA,NA,NA,20,1,1,13,X
49,49,212,A,NA,268,706000,4656000,143,1,NA,NA,NA,NA,NA,NA,5,1,1,3,X
49,49,213,A,NA,268,712000,4656000,48,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,214,A,NA,268,717000,4656000,48,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,215,A,NA,268,718000,4656000,48,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,216,A,NA,268,719000,4656000,121,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,218,A,NA,268,728000,4656000,177,1,NA,NA,NA,NA,NA,NA,40,1,2,13,X
