Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
34,34,728,A,NA,311,352000,4636000,10,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,730,A,NA,311,371000,4633000,69,1,NA,NA,NA,NA,NA,NA,55,1,1,14,X
34,34,732,A,NA,312,381000,4647000,98,1,NA,NA,NA,NA,NA,NA,70,1,1,14,X
34,34,733,A,NA,312,386000,4647000,146,1,NA,NA,NA,NA,NA,NA,35,1,1,14,X
34,34,735,A,NA,312,384000,4644000,177,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,736,A,NA,312,392000,4644000,238,1,NA,NA,NA,NA,NA,NA,60,1,1,14,X
34,34,737,A,NA,312,381000,4643000,86,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,738,A,NA,312,383000,4643000,86,NA,NA,NA,NA,NA,NA,NA,15,1,NA,14,X
34,34,739,A,NA,312,398000,4643000,22,NA,NA,NA,NA,NA,NA,NA,30,1,NA,14,X
34,34,740,A,NA,312,379000,4640000,181,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,741,A,NA,312,383000,4640000,86,1,NA,NA,NA,NA,NA,NA,40,1,1,14,X
34,34,742,A,NA,312,388000,4640000,196,1,NA,NA,NA,NA,NA,NA,50,1,1,14,X
34,34,743,A,NA,312,387000,4639000,196,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,745,A,NA,312,377000,4637000,181,1,NA,NA,NA,NA,NA,NA,35,1,1,14,X
34,34,748,A,NA,312,399000,4637000,205,NA,NA,NA,NA,NA,NA,NA,20,1,NA,14,X
34,34,750,A,NA,312,394000,4636000,51,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,753,A,NA,312,380000,4633000,NA,NA,NA,NA,NA,NA,NA,NA,,1,0,14,X
34,34,755,A,NA,313,404000,4650000,22,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,756,A,NA,313,406000,4650000,22,1,NA,NA,NA,NA,NA,NA,50,1,1,14,X
34,34,758,A,NA,313,406000,4644000,22,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,759,A,NA,313,404000,4642000,22,1,NA,NA,NA,NA,NA,NA,60,1,3,14,X
34,34,760,A,NA,313,406000,4642000,22,1,NA,NA,NA,NA,NA,NA,80,1,2,14,X
34,34,761,A,NA,313,410000,4642000,12,1,NA,NA,NA,NA,NA,NA,5,1,2,14,X
34,34,763,A,NA,313,406000,4638000,205,1,NA,NA,NA,NA,NA,NA,45,1,2,14,X
34,34,764,A,NA,313,412000,4638000,NA,1,NA,NA,NA,NA,NA,NA,50,1,0,14,X
34,34,765,A,NA,313,416000,4638000,121,1,NA,NA,NA,NA,NA,NA,30,1,2,14,X
34,34,766,A,NA,313,404000,4636000,NA,1,NA,NA,NA,NA,NA,NA,30,1,0,14,X
